metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
total_ms,2_7_new_plugin_bag_2,0,1779961608395045540,0.0,35.181
total_ms,2_7_new_plugin_bag_2,1,1779961608507159202,0.112113662,37.84
total_ms,2_7_new_plugin_bag_2,2,1779961608603069610,0.20802407,34.443
total_ms,2_7_new_plugin_bag_2,3,1779961608698691023,0.303645483,37.119
total_ms,2_7_new_plugin_bag_2,4,1779961608808121889,0.413076349,35.192
total_ms,2_7_new_plugin_bag_2,5,1779961608895927315,0.5008817750000001,31.857
total_ms,2_7_new_plugin_bag_2,6,1779961609027026523,0.631980983,38.882
total_ms,2_7_new_plugin_bag_2,7,1779961609091279906,0.696234366,36.159
total_ms,2_7_new_plugin_bag_2,8,1779961609192567999,0.7975224590000001,32.803
total_ms,2_7_new_plugin_bag_2,9,1779961609318933126,0.9238875860000001,39.791
total_ms,2_7_new_plugin_bag_2,10,1779961609389541750,0.9944962100000001,32.285
total_ms,2_7_new_plugin_bag_2,11,1779961609512309421,1.117263881,33.616
total_ms,2_7_new_plugin_bag_2,12,1779961609605275708,1.210230168,33.238
total_ms,2_7_new_plugin_bag_2,13,1779961609692759128,1.2977135880000001,33.17
total_ms,2_7_new_plugin_bag_2,14,1779961609808938401,1.4138928610000001,40.37
total_ms,2_7_new_plugin_bag_2,15,1779961609908791030,1.51374549,32.214
total_ms,2_7_new_plugin_bag_2,16,1779961609999239013,1.604193473,35.143
total_ms,2_7_new_plugin_bag_2,17,1779961610095180344,1.7001348040000002,34.319
total_ms,2_7_new_plugin_bag_2,18,1779961610194418286,1.7993727460000002,34.739
total_ms,2_7_new_plugin_bag_2,19,1779961610315970440,1.9209249000000002,52.177
total_ms,2_7_new_plugin_bag_2,20,1779961610407984589,2.0129390490000003,39.056
total_ms,2_7_new_plugin_bag_2,21,1779961610515620862,2.120575322,35.039
total_ms,2_7_new_plugin_bag_2,22,1779961610635878602,2.240833062,39.944
total_ms,2_7_new_plugin_bag_2,23,1779961610715418167,2.3203726270000002,35.804
total_ms,2_7_new_plugin_bag_2,24,1779961610818495460,2.4234499200000004,43.743
total_ms,2_7_new_plugin_bag_2,25,1779961610910070304,2.515024764,36.39
total_ms,2_7_new_plugin_bag_2,26,1779961610992352690,2.5973071500000002,32.83
total_ms,2_7_new_plugin_bag_2,27,1779961611097292476,2.7022469360000003,34.65
total_ms,2_7_new_plugin_bag_2,28,1779961611229652193,2.8346066530000003,38.743
total_ms,2_7_new_plugin_bag_2,29,1779961611332209136,2.937163596,45.355
total_ms,2_7_new_plugin_bag_2,30,1779961611417695726,3.0226501860000003,41.743
total_ms,2_7_new_plugin_bag_2,31,1779961611525309243,3.1302637030000002,50.671
total_ms,2_7_new_plugin_bag_2,32,1779961611634697102,3.239651562,60.459
total_ms,2_7_new_plugin_bag_2,33,1779961611762568323,3.367522783,67.923
total_ms,2_7_new_plugin_bag_2,34,1779961611830433343,3.4353878030000002,56.582
total_ms,2_7_new_plugin_bag_2,35,1779961611977176588,3.5821310480000004,87.379
total_ms,2_7_new_plugin_bag_2,36,1779961612034427260,3.6393817200000003,51.457
total_ms,2_7_new_plugin_bag_2,37,1779961612105639826,3.710594286,39.072
total_ms,2_7_new_plugin_bag_2,38,1779961612203414569,3.808369029,40.66
total_ms,2_7_new_plugin_bag_2,39,1779961612283560818,3.8885152780000003,39.472
total_ms,2_7_new_plugin_bag_2,40,1779961612431575959,4.036530419,43.039
total_ms,2_7_new_plugin_bag_2,41,1779961612525344751,4.1302992110000005,68.941
