metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
total_ms,2_7_new_plugin_bag,0,1779954819392540062,0.0,67.201
total_ms,2_7_new_plugin_bag,1,1779954819465259969,0.072719907,36.113
total_ms,2_7_new_plugin_bag,2,1779954819558410213,0.16587015100000002,43.95
total_ms,2_7_new_plugin_bag,3,1779954819661286152,0.26874609,49.255
total_ms,2_7_new_plugin_bag,4,1779954819769557116,0.377017054,45.226
total_ms,2_7_new_plugin_bag,5,1779954819876308080,0.483768018,67.716
total_ms,2_7_new_plugin_bag,6,1779954820001473178,0.608933116,63.867
total_ms,2_7_new_plugin_bag,7,1779954820133826673,0.741286611,44.37
total_ms,2_7_new_plugin_bag,8,1779954820178622733,0.7860826710000001,41.856
total_ms,2_7_new_plugin_bag,9,1779954820321709217,0.9291691550000001,57.637
total_ms,2_7_new_plugin_bag,10,1779954820367081956,0.974541894,43.772
total_ms,2_7_new_plugin_bag,11,1779954820495920180,1.103380118,54.749
total_ms,2_7_new_plugin_bag,12,1779954820556606048,1.164065986,42.637
total_ms,2_7_new_plugin_bag,13,1779954820645937386,1.253397324,39.238
total_ms,2_7_new_plugin_bag,14,1779954820776413128,1.383873066,67.394
total_ms,2_7_new_plugin_bag,15,1779954820934895009,1.5423549470000002,50.327
total_ms,2_7_new_plugin_bag,16,1779954821022537038,1.6299969760000002,55.017
total_ms,2_7_new_plugin_bag,17,1779954821087518693,1.6949786310000001,62.458
total_ms,2_7_new_plugin_bag,18,1779954821171281347,1.7787412850000002,49.762
total_ms,2_7_new_plugin_bag,19,1779954821379588452,1.9870483900000002,140.557
total_ms,2_7_new_plugin_bag,20,1779954821556666518,2.164126456,159.591
total_ms,2_7_new_plugin_bag,21,1779954821668193189,2.275653127,108.99
total_ms,2_7_new_plugin_bag,22,1779954821955869910,2.563329848,179.276
total_ms,2_7_new_plugin_bag,23,1779954822053464052,2.66092399,75.783
total_ms,2_7_new_plugin_bag,24,1779954822196371629,2.803831567,63.103
total_ms,2_7_new_plugin_bag,25,1779954822278779611,2.8862395490000003,75.516
total_ms,2_7_new_plugin_bag,26,1779954822433718891,3.041178829,141.362
total_ms,2_7_new_plugin_bag,27,1779954822516519985,3.1239799230000003,80.417
total_ms,2_7_new_plugin_bag,28,1779954822687623361,3.2950832990000003,103.099
total_ms,2_7_new_plugin_bag,29,1779954822836006486,3.4434664240000004,147.279
total_ms,2_7_new_plugin_bag,30,1779954822927339819,3.534799757,90.099
total_ms,2_7_new_plugin_bag,31,1779954823021657110,3.6291170480000003,91.155
total_ms,2_7_new_plugin_bag,32,1779954823114096376,3.7215563140000003,90.853
total_ms,2_7_new_plugin_bag,33,1779954823193032614,3.800492552,78.032
total_ms,2_7_new_plugin_bag,34,1779954823358133778,3.9655937160000003,119.645
total_ms,2_7_new_plugin_bag,35,1779954823440413366,4.047873304,81.124
total_ms,2_7_new_plugin_bag,36,1779954823504428297,4.111888235,62.165
total_ms,2_7_new_plugin_bag,37,1779954823564454383,4.171914321,58.701
total_ms,2_7_new_plugin_bag,38,1779954823647884367,4.255344305,64.9
total_ms,2_7_new_plugin_bag,39,1779954823708402640,4.315862578,58.554
total_ms,2_7_new_plugin_bag,40,1779954823816196013,4.423655951000001,69.257
total_ms,2_7_new_plugin_bag,41,1779954823877714623,4.485174561,51.453
total_ms,2_7_new_plugin_bag,42,1779954824062864488,4.6703244260000005,158.512
total_ms,2_7_new_plugin_bag,43,1779954824145570590,4.753030528,79.847
total_ms,2_7_new_plugin_bag,44,1779954824214275648,4.821735586,66.307
total_ms,2_7_new_plugin_bag,45,1779954824348789271,4.956249209,83.517
total_ms,2_7_new_plugin_bag,46,1779954824417327367,5.024787305,66.62
total_ms,2_7_new_plugin_bag,47,1779954824507950423,5.115410361,86.908
total_ms,2_7_new_plugin_bag,48,1779954824599128664,5.206588602,89.709
total_ms,2_7_new_plugin_bag,49,1779954824643840216,5.251300154,43.389
total_ms,2_7_new_plugin_bag,50,1779954824737765816,5.345225754,79.274
total_ms,2_7_new_plugin_bag,51,1779954824887347737,5.494807675000001,103.499
total_ms,2_7_new_plugin_bag,52,1779954824968044815,5.575504753000001,78.863
total_ms,2_7_new_plugin_bag,53,1779954825037755087,5.645215025000001,68.966
total_ms,2_7_new_plugin_bag,54,1779954825119213367,5.726673305,79.686
total_ms,2_7_new_plugin_bag,55,1779954825237052418,5.844512356,116.92
total_ms,2_7_new_plugin_bag,56,1779954825298360697,5.905820635,59.879
total_ms,2_7_new_plugin_bag,57,1779954825354021508,5.9614814460000005,54.682
total_ms,2_7_new_plugin_bag,58,1779954825444551984,6.052011922,62.147
total_ms,2_7_new_plugin_bag,59,1779954825532432920,6.1398928580000005,40.045
total_ms,2_7_new_plugin_bag,60,1779954825615932705,6.223392643,43.217
total_ms,2_7_new_plugin_bag,61,1779954825664991031,6.272450969,48.01
total_ms,2_7_new_plugin_bag,62,1779954825739407007,6.346866945,32.551
total_ms,2_7_new_plugin_bag,63,1779954825850660913,6.458120851,39.175
total_ms,2_7_new_plugin_bag,64,1779954825954879403,6.562339341,48.306
total_ms,2_7_new_plugin_bag,65,1779954826052059681,6.659519619,39.805
total_ms,2_7_new_plugin_bag,66,1779954826137195215,6.744655153,32.684
total_ms,2_7_new_plugin_bag,67,1779954826230679213,6.838139151,34.529
total_ms,2_7_new_plugin_bag,68,1779954826349344774,6.956804712,53.038
total_ms,2_7_new_plugin_bag,69,1779954826472988689,7.080448627000001,48.187
total_ms,2_7_new_plugin_bag,70,1779954826548244525,7.155704463,40.304
total_ms,2_7_new_plugin_bag,71,1779954826667445695,7.274905633,58.301
total_ms,2_7_new_plugin_bag,72,1779954826749371008,7.3568309460000005,52.057
total_ms,2_7_new_plugin_bag,73,1779954826865837931,7.4732978690000005,51.281
total_ms,2_7_new_plugin_bag,74,1779954826971765226,7.579225164,53.774
total_ms,2_7_new_plugin_bag,75,1779954827064946052,7.672405990000001,42.189
total_ms,2_7_new_plugin_bag,76,1779954827169224838,7.776684776000001,54.166
total_ms,2_7_new_plugin_bag,77,1779954827272358747,7.879818685000001,46.249
total_ms,2_7_new_plugin_bag,78,1779954827372084964,7.979544902000001,47.172
total_ms,2_7_new_plugin_bag,79,1779954827438060922,8.04552086,33.138
total_ms,2_7_new_plugin_bag,80,1779954827563077663,8.170537601000001,44.986
total_ms,2_7_new_plugin_bag,81,1779954827642566094,8.250026032000001,45.21
total_ms,2_7_new_plugin_bag,82,1779954827739188571,8.346648509000001,42.278
total_ms,2_7_new_plugin_bag,83,1779954827839629380,8.447089318,42.149
total_ms,2_7_new_plugin_bag,84,1779954827941422402,8.54888234,47.755
total_ms,2_7_new_plugin_bag,85,1779954828096982042,8.70444198,62.094
total_ms,2_7_new_plugin_bag,86,1779954828156874101,8.764334039000001,45.85
total_ms,2_7_new_plugin_bag,87,1779954828239532599,8.846992537,42.597
total_ms,2_7_new_plugin_bag,88,1779954828344587118,8.952047056000001,49.204
total_ms,2_7_new_plugin_bag,89,1779954828451110134,9.058570072,38.939
total_ms,2_7_new_plugin_bag,90,1779954828554489797,9.161949735,44.467
total_ms,2_7_new_plugin_bag,91,1779954828637999657,9.245459595,39.998
total_ms,2_7_new_plugin_bag,92,1779954828728467937,9.335927875000001,35.584
total_ms,2_7_new_plugin_bag,93,1779954828854204934,9.461664872,42.682
total_ms,2_7_new_plugin_bag,94,1779954828972885044,9.580344982,38.003
total_ms,2_7_new_plugin_bag,95,1779954829060245766,9.667705704000001,48.605
total_ms,2_7_new_plugin_bag,96,1779954829155800693,9.763260631000001,38.342
total_ms,2_7_new_plugin_bag,97,1779954829255141335,9.862601273000001,41.315
total_ms,2_7_new_plugin_bag,98,1779954829349803146,9.957263084000001,40.732
total_ms,2_7_new_plugin_bag,99,1779954829428625273,10.036085211000001,33.561
total_ms,2_7_new_plugin_bag,100,1779954829531320518,10.138780456000001,31.66
total_ms,2_7_new_plugin_bag,101,1779954829692581773,10.300041711,40.131
total_ms,2_7_new_plugin_bag,102,1779954829732969374,10.340429312000001,33.807
total_ms,2_7_new_plugin_bag,103,1779954829828735780,10.436195718,34.571
total_ms,2_7_new_plugin_bag,104,1779954829928415496,10.535875434000001,35.049
total_ms,2_7_new_plugin_bag,105,1779954830060039848,10.667499786,43.266
total_ms,2_7_new_plugin_bag,106,1779954830126578795,10.734038733,38.177
total_ms,2_7_new_plugin_bag,107,1779954830225125760,10.832585698,36.414
total_ms,2_7_new_plugin_bag,108,1779954830321340679,10.928800617,32.603
total_ms,2_7_new_plugin_bag,109,1779954830460736865,11.068196803000001,51.744
total_ms,2_7_new_plugin_bag,110,1779954830536336657,11.143796595000001,33.877
total_ms,2_7_new_plugin_bag,111,1779954830631046747,11.238506685,34.172
total_ms,2_7_new_plugin_bag,112,1779954830749258113,11.356718051000001,40.577
total_ms,2_7_new_plugin_bag,113,1779954830829492467,11.436952405000001,34.461
total_ms,2_7_new_plugin_bag,114,1779954830946851605,11.554311543,38.935
total_ms,2_7_new_plugin_bag,115,1779954831033493212,11.640953150000001,36.736
total_ms,2_7_new_plugin_bag,116,1779954831143006854,11.750466792000001,43.047
total_ms,2_7_new_plugin_bag,117,1779954831268588641,11.876048579,50.824
total_ms,2_7_new_plugin_bag,118,1779954831372472985,11.979932923000002,49.607
total_ms,2_7_new_plugin_bag,119,1779954831444908946,12.052368884000002,42.09
total_ms,2_7_new_plugin_bag,120,1779954831546700700,12.154160638,47.194
total_ms,2_7_new_plugin_bag,121,1779954831669846167,12.277306105000001,50.616
total_ms,2_7_new_plugin_bag,122,1779954831774818568,12.382278506,45.392
total_ms,2_7_new_plugin_bag,123,1779954831857659604,12.465119542,43.095
total_ms,2_7_new_plugin_bag,124,1779954831933131825,12.540591763,35.558
total_ms,2_7_new_plugin_bag,125,1779954832067636246,12.675096184000001,46.297
total_ms,2_7_new_plugin_bag,126,1779954832131360235,12.738820173,39.474
total_ms,2_7_new_plugin_bag,127,1779954832234802003,12.842261941,39.676
total_ms,2_7_new_plugin_bag,128,1779954832347611211,12.955071149,41.205
total_ms,2_7_new_plugin_bag,129,1779954832434421815,13.041881753,35.337
total_ms,2_7_new_plugin_bag,130,1779954832538499038,13.145958976000001,38.705
total_ms,2_7_new_plugin_bag,131,1779954832631798945,13.239258883000002,35.907
total_ms,2_7_new_plugin_bag,132,1779954832747748940,13.355208878000001,35.992
total_ms,2_7_new_plugin_bag,133,1779954832853388353,13.460848291000001,40.152
total_ms,2_7_new_plugin_bag,134,1779954832924936877,13.532396815,39.12
total_ms,2_7_new_plugin_bag,135,1779954833056036641,13.663496579,42.345
total_ms,2_7_new_plugin_bag,136,1779954833139263338,13.746723276,34.206
total_ms,2_7_new_plugin_bag,137,1779954833275191355,13.882651293,53.959
total_ms,2_7_new_plugin_bag,138,1779954833332567707,13.940027645,34.667
total_ms,2_7_new_plugin_bag,139,1779954833455278938,14.062738876000001,45.587
total_ms,2_7_new_plugin_bag,140,1779954833571069782,14.17852972,53.026
total_ms,2_7_new_plugin_bag,141,1779954833635724645,14.243184583000001,36.835
total_ms,2_7_new_plugin_bag,142,1779954833748850958,14.356310896,41.985
total_ms,2_7_new_plugin_bag,143,1779954833897477204,14.504937142000001,53.797
total_ms,2_7_new_plugin_bag,144,1779954833975081080,14.582541018,59.536
total_ms,2_7_new_plugin_bag,145,1779954834055092066,14.662552004,38.87
total_ms,2_7_new_plugin_bag,146,1779954834160522842,14.76798278,51.683
total_ms,2_7_new_plugin_bag,147,1779954834246294375,14.853754313000001,34.271
total_ms,2_7_new_plugin_bag,148,1779954834361936550,14.969396488000001,52.946
total_ms,2_7_new_plugin_bag,149,1779954834497874488,15.105334426,59.365
total_ms,2_7_new_plugin_bag,150,1779954834582461074,15.189921012000001,59.723
total_ms,2_7_new_plugin_bag,151,1779954834666649953,15.274109891,46.985
total_ms,2_7_new_plugin_bag,152,1779954834752101449,15.359561387000001,50.429
total_ms,2_7_new_plugin_bag,153,1779954834859043973,15.466503911,40.015
total_ms,2_7_new_plugin_bag,154,1779954834957670058,15.565129996000001,39.392
total_ms,2_7_new_plugin_bag,155,1779954835087883278,15.695343216000001,54.603
total_ms,2_7_new_plugin_bag,156,1779954835155047267,15.762507205,38.317
total_ms,2_7_new_plugin_bag,157,1779954835291444311,15.898904249000001,51.617
total_ms,2_7_new_plugin_bag,158,1779954835364124817,15.971584755,43.826
total_ms,2_7_new_plugin_bag,159,1779954835430991680,16.038451618,36.384
total_ms,2_7_new_plugin_bag,160,1779954835544902178,16.152362116000003,34.976
total_ms,2_7_new_plugin_bag,161,1779954835643366613,16.250826551,36.623
total_ms,2_7_new_plugin_bag,162,1779954835757800495,16.365260433,45.43
total_ms,2_7_new_plugin_bag,163,1779954835826073116,16.433533054,35.893
total_ms,2_7_new_plugin_bag,164,1779954835995768963,16.603228901,54.669
total_ms,2_7_new_plugin_bag,165,1779954836030345230,16.637805168,33.68
total_ms,2_7_new_plugin_bag,166,1779954836155529849,16.762989787000002,40.325
total_ms,2_7_new_plugin_bag,167,1779954836231480145,16.838940083,34.77
total_ms,2_7_new_plugin_bag,168,1779954836352413547,16.959873485000003,39.469
total_ms,2_7_new_plugin_bag,169,1779954836499835898,17.107295836000002,55.055
total_ms,2_7_new_plugin_bag,170,1779954836539329206,17.146789144,35.457
total_ms,2_7_new_plugin_bag,171,1779954836641002451,17.248462389,42.017
total_ms,2_7_new_plugin_bag,172,1779954836724095817,17.331555755,35.672
total_ms,2_7_new_plugin_bag,173,1779954836835404652,17.442864590000003,34.91
total_ms,2_7_new_plugin_bag,174,1779954836943500483,17.550960421000003,37.39
total_ms,2_7_new_plugin_bag,175,1779954837059268724,17.666728662,44.182
total_ms,2_7_new_plugin_bag,176,1779954837142933441,17.750393379000002,49.32
total_ms,2_7_new_plugin_bag,177,1779954837231150170,17.838610108,39.801
total_ms,2_7_new_plugin_bag,178,1779954837344900875,17.952360813000002,35.746
total_ms,2_7_new_plugin_bag,179,1779954837428477896,18.035937834000002,32.112
total_ms,2_7_new_plugin_bag,180,1779954837545006664,18.152466602,39.952
total_ms,2_7_new_plugin_bag,181,1779954837626175717,18.233635655,34.008
total_ms,2_7_new_plugin_bag,182,1779954837746721793,18.354181731,39.664
total_ms,2_7_new_plugin_bag,183,1779954837825323861,18.432783799000003,33.889
total_ms,2_7_new_plugin_bag,184,1779954837943335203,18.550795141000002,36.994
total_ms,2_7_new_plugin_bag,185,1779954838052929967,18.660389905000002,43.771
total_ms,2_7_new_plugin_bag,186,1779954838136770491,18.744230429,33.804
total_ms,2_7_new_plugin_bag,187,1779954838230405073,18.837865011,33.457
total_ms,2_7_new_plugin_bag,188,1779954838355083693,18.962543631000003,38.917
total_ms,2_7_new_plugin_bag,189,1779954838457652955,19.065112893000002,34.757
total_ms,2_7_new_plugin_bag,190,1779954838541818973,19.149278911,34.797
total_ms,2_7_new_plugin_bag,191,1779954838661299683,19.268759621,44.536
total_ms,2_7_new_plugin_bag,192,1779954838754519497,19.361979435000002,42.843
total_ms,2_7_new_plugin_bag,193,1779954838829303095,19.436763033000002,35.897
total_ms,2_7_new_plugin_bag,194,1779954838946134861,19.553594799000003,43.659
total_ms,2_7_new_plugin_bag,195,1779954839060253187,19.667713125000002,42.648
total_ms,2_7_new_plugin_bag,196,1779954839132709623,19.740169561000002,34.479
total_ms,2_7_new_plugin_bag,197,1779954839229838423,19.837298361000002,38.169
total_ms,2_7_new_plugin_bag,198,1779954839342918465,19.950378403000002,36.556
total_ms,2_7_new_plugin_bag,199,1779954839462042886,20.069502824,44.635
total_ms,2_7_new_plugin_bag,200,1779954839536819817,20.144279755000003,42.536
total_ms,2_7_new_plugin_bag,201,1779954839679191980,20.286651918,51.619
total_ms,2_7_new_plugin_bag,202,1779954839755957782,20.36341772,46.977
total_ms,2_7_new_plugin_bag,203,1779954839861443105,20.468903043,41.061
total_ms,2_7_new_plugin_bag,204,1779954839991682172,20.599142110000003,61.984
total_ms,2_7_new_plugin_bag,205,1779954840036206093,20.643666031000002,35.768
total_ms,2_7_new_plugin_bag,206,1779954840144646023,20.752105961,41.792
total_ms,2_7_new_plugin_bag,207,1779954840236430952,20.84389089,43.995
total_ms,2_7_new_plugin_bag,208,1779954840334869672,20.94232961,38.926
total_ms,2_7_new_plugin_bag,209,1779954840444325912,21.05178585,37.34
total_ms,2_7_new_plugin_bag,210,1779954840578079455,21.185539393000003,47.867
total_ms,2_7_new_plugin_bag,211,1779954840639378002,21.246837940000002,42.322
total_ms,2_7_new_plugin_bag,212,1779954840730925629,21.338385567,39.263
total_ms,2_7_new_plugin_bag,213,1779954840858566183,21.466026121000002,46.876
