metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
total_ms,2_7_opt_bag_3,0,1779961417111612956,0.0,20.432
total_ms,2_7_opt_bag_3,1,1779961417157059240,0.045446284,22.827
total_ms,2_7_opt_bag_3,2,1779961417253888452,0.142275496,26.527
total_ms,2_7_opt_bag_3,3,1779961417375152107,0.263539151,21.93
total_ms,2_7_opt_bag_3,4,1779961417489399382,0.377786426,32.652
total_ms,2_7_opt_bag_3,5,1779961417557740683,0.44612772700000003,25.667
total_ms,2_7_opt_bag_3,6,1779961417659106976,0.54749402,31.066
total_ms,2_7_opt_bag_3,7,1779961417770362736,0.6587497800000001,28.463
total_ms,2_7_opt_bag_3,8,1779961417870131910,0.758518954,22.166
total_ms,2_7_opt_bag_3,9,1779961417964540767,0.852927811,21.973
total_ms,2_7_opt_bag_3,10,1779961418086673024,0.9750600680000001,21.076
total_ms,2_7_opt_bag_3,11,1779961418181510566,1.0698976100000002,26.049
total_ms,2_7_opt_bag_3,12,1779961418282592352,1.1709793960000001,21.817
total_ms,2_7_opt_bag_3,13,1779961418362582173,1.2509692170000002,20.244
total_ms,2_7_opt_bag_3,14,1779961418484841085,1.3732281290000001,26.801
total_ms,2_7_opt_bag_3,15,1779961418550455638,1.438842682,24.301
total_ms,2_7_opt_bag_3,16,1779961418663273734,1.551660778,34.429
total_ms,2_7_opt_bag_3,17,1779961418770283920,1.6586709640000001,22.479
total_ms,2_7_opt_bag_3,18,1779961418860725768,1.7491128120000001,26.732
total_ms,2_7_opt_bag_3,19,1779961418979833944,1.868220988,29.699
total_ms,2_7_opt_bag_3,20,1779961419068269352,1.956656396,21.559
total_ms,2_7_opt_bag_3,21,1779961419172746733,2.0611337770000002,25.48
total_ms,2_7_opt_bag_3,22,1779961419257173236,2.14556028,23.791
total_ms,2_7_opt_bag_3,23,1779961419356441922,2.244828966,15.966
total_ms,2_7_opt_bag_3,24,1779961419455980059,2.344367103,24.625
total_ms,2_7_opt_bag_3,25,1779961419559341054,2.4477280980000002,27.337
total_ms,2_7_opt_bag_3,26,1779961419654334846,2.54272189,23.579
total_ms,2_7_opt_bag_3,27,1779961419769307529,2.657694573,24.676
total_ms,2_7_opt_bag_3,28,1779961419853402148,2.741789192,24.466
total_ms,2_7_opt_bag_3,29,1779961419990840598,2.879227642,26.723
total_ms,2_7_opt_bag_3,30,1779961420076320426,2.96470747,34.009
total_ms,2_7_opt_bag_3,31,1779961420181304837,3.0696918810000002,28.607
total_ms,2_7_opt_bag_3,32,1779961420268562415,3.1569494590000002,27.328
total_ms,2_7_opt_bag_3,33,1779961420362030110,3.2504171540000004,21.107
total_ms,2_7_opt_bag_3,34,1779961420470586226,3.3589732700000003,27.625
total_ms,2_7_opt_bag_3,35,1779961420572136955,3.4605239990000003,29.962
total_ms,2_7_opt_bag_3,36,1779961420679560617,3.5679476610000003,30.71
total_ms,2_7_opt_bag_3,37,1779961420753367395,3.641754439,20.112
total_ms,2_7_opt_bag_3,38,1779961420893181998,3.781569042,27.219
total_ms,2_7_opt_bag_3,39,1779961420962814044,3.8512010880000003,25.248
total_ms,2_7_opt_bag_3,40,1779961421089978387,3.9783654310000003,33.252
total_ms,2_7_opt_bag_3,41,1779961421173302967,4.0616900110000005,24.951
total_ms,2_7_opt_bag_3,42,1779961421251137416,4.1395244600000005,20.556
total_ms,2_7_opt_bag_3,43,1779961421357838837,4.246225881,22.367
total_ms,2_7_opt_bag_3,44,1779961421476716833,4.365103877,29.058
total_ms,2_7_opt_bag_3,45,1779961421588605907,4.476992951000001,27.252
total_ms,2_7_opt_bag_3,46,1779961421671103302,4.5594903460000005,25.378
total_ms,2_7_opt_bag_3,47,1779961421764823768,4.653210812,20.853
total_ms,2_7_opt_bag_3,48,1779961421900978725,4.789365769000001,38.142
total_ms,2_7_opt_bag_3,49,1779961421953460865,4.841847909,19.712
total_ms,2_7_opt_bag_3,50,1779961422051538018,4.939925062,24.76
