metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
total_ms,2_7_opt_bag_slow,0,1779955327399240566,0.0,19.377
total_ms,2_7_opt_bag_slow,1,1779955328370415036,0.97117447,24.695
total_ms,2_7_opt_bag_slow,2,1779955329340834332,1.9415937660000002,19.512
total_ms,2_7_opt_bag_slow,3,1779955330341731293,2.942490727,18.391
total_ms,2_7_opt_bag_slow,4,1779955331358971735,3.9597311690000003,24.992
total_ms,2_7_opt_bag_slow,5,1779955332364295067,4.965054501,20.489
total_ms,2_7_opt_bag_slow,6,1779955333358273040,5.959032474000001,18.492
total_ms,2_7_opt_bag_slow,7,1779955334333516111,6.934275545,22.281
total_ms,2_7_opt_bag_slow,8,1779955335339076424,7.939835858,20.822
total_ms,2_7_opt_bag_slow,9,1779955336344028269,8.944787703000001,22.467
total_ms,2_7_opt_bag_slow,10,1779955337381278029,9.982037463000001,28.85
total_ms,2_7_opt_bag_slow,11,1779955338326486478,10.927245912,19.481
total_ms,2_7_opt_bag_slow,12,1779955339359743113,11.960502547,24.202
total_ms,2_7_opt_bag_slow,13,1779955340361444265,12.962203699000002,19.311
total_ms,2_7_opt_bag_slow,14,1779955341362696345,13.963455779,25.735
total_ms,2_7_opt_bag_slow,15,1779955342377359420,14.978118854000002,23.659
total_ms,2_7_opt_bag_slow,16,1779955343340402544,15.941161978,23.381
total_ms,2_7_opt_bag_slow,17,1779955344359821203,16.960580637,22.935
total_ms,2_7_opt_bag_slow,18,1779955345347265448,17.948024882000002,18.517
total_ms,2_7_opt_bag_slow,19,1779955346328903042,18.929662476,18.829
total_ms,2_7_opt_bag_slow,20,1779955347337053531,19.937812965000003,21.157
total_ms,2_7_opt_bag_slow,21,1779955348339199688,20.939959122,16.388
total_ms,2_7_opt_bag_slow,22,1779955349330887935,21.931647369,17.305
total_ms,2_7_opt_bag_slow,23,1779955350347903415,22.948662849,18.915
total_ms,2_7_opt_bag_slow,24,1779955351372884667,23.973644101,19.105
total_ms,2_7_opt_bag_slow,25,1779955352354834547,24.955593981,19.368
total_ms,2_7_opt_bag_slow,26,1779955353362226089,25.962985523,24.105
total_ms,2_7_opt_bag_slow,27,1779955354380580038,26.981339472000002,23.299
total_ms,2_7_opt_bag_slow,28,1779955355352503875,27.953263309,23.596
total_ms,2_7_opt_bag_slow,29,1779955356386122111,28.986881545000003,24.337
total_ms,2_7_opt_bag_slow,30,1779955357369436481,29.970195915,23.08
total_ms,2_7_opt_bag_slow,31,1779955358350564278,30.951323712,22.91
total_ms,2_7_opt_bag_slow,32,1779955359381668937,31.982428371,23.556
total_ms,2_7_opt_bag_slow,33,1779955360360625327,32.961384761000005,19.812
total_ms,2_7_opt_bag_slow,34,1779955361354070105,33.954829539,24.603
total_ms,2_7_opt_bag_slow,35,1779955362343911944,34.944671378,24.204
total_ms,2_7_opt_bag_slow,36,1779955363400220615,36.000980049,37.871
total_ms,2_7_opt_bag_slow,37,1779955364340337351,36.941096785,18.967
total_ms,2_7_opt_bag_slow,38,1779955365359682954,37.960442388000004,22.742
total_ms,2_7_opt_bag_slow,39,1779955366341107585,38.941867019,19.018
total_ms,2_7_opt_bag_slow,40,1779955367340712835,39.941472269,23.273
total_ms,2_7_opt_bag_slow,41,1779955368342949678,40.943709112,24.49
total_ms,2_7_opt_bag_slow,42,1779955369365061172,41.965820606,18.288
total_ms,2_7_opt_bag_slow,43,1779955370424237462,43.024996896000005,19.769
total_ms,2_7_opt_bag_slow,44,1779955371352032893,43.952792327000004,21.397
total_ms,2_7_opt_bag_slow,45,1779955372350360425,44.951119859,19.573
total_ms,2_7_opt_bag_slow,46,1779955373342458963,45.943218397,24.35
total_ms,2_7_opt_bag_slow,47,1779955374340525602,46.941285036000004,21.199
total_ms,2_7_opt_bag_slow,48,1779955375335398278,47.936157712,19.514
total_ms,2_7_opt_bag_slow,49,1779955376344919468,48.945678902000004,22.574
total_ms,2_7_opt_bag_slow,50,1779955377328655305,49.929414739,18.655
total_ms,2_7_opt_bag_slow,51,1779955378344562820,50.945322254000004,21.831
total_ms,2_7_opt_bag_slow,52,1779955379368613772,51.969373206,18.403
total_ms,2_7_opt_bag_slow,53,1779955380329395401,52.930154835,19.473
total_ms,2_7_opt_bag_slow,54,1779955381331970200,53.932729634000005,19.667
total_ms,2_7_opt_bag_slow,55,1779955382342680686,54.943440120000005,18.778
total_ms,2_7_opt_bag_slow,56,1779955383356851642,55.957611076000006,18.884
total_ms,2_7_opt_bag_slow,57,1779955384368992402,56.969751836,24.976
total_ms,2_7_opt_bag_slow,58,1779955385348334905,57.949094339000006,22.535
total_ms,2_7_opt_bag_slow,59,1779955386345369567,58.946129001,23.397
total_ms,2_7_opt_bag_slow,60,1779955387330410201,59.931169635,18.176
total_ms,2_7_opt_bag_slow,61,1779955388352892082,60.953651516,23.049
total_ms,2_7_opt_bag_slow,62,1779955389371576829,61.972336263,23.76
total_ms,2_7_opt_bag_slow,63,1779955390364771233,62.965530667,18.093
total_ms,2_7_opt_bag_slow,64,1779955391349780857,63.950540291,17.615
total_ms,2_7_opt_bag_slow,65,1779955392339021476,64.93978091000001,24.313
total_ms,2_7_opt_bag_slow,66,1779955393340524791,65.941284225,19.434
total_ms,2_7_opt_bag_slow,67,1779955394328080711,66.92884014500001,17.663
total_ms,2_7_opt_bag_slow,68,1779955395349142897,67.949902331,17.842
total_ms,2_7_opt_bag_slow,69,1779955396365654201,68.96641363500001,19.673
total_ms,2_7_opt_bag_slow,70,1779955397328947716,69.92970715,16.604
total_ms,2_7_opt_bag_slow,71,1779955398332253522,70.933012956,22.658
total_ms,2_7_opt_bag_slow,72,1779955399337437683,71.938197117,21.593
total_ms,2_7_opt_bag_slow,73,1779955400331300093,72.932059527,15.664
total_ms,2_7_opt_bag_slow,74,1779955401335195427,73.935954861,17.81
total_ms,2_7_opt_bag_slow,75,1779955402368845267,74.96960470100001,21.636
total_ms,2_7_opt_bag_slow,76,1779955403353376353,75.954135787,20.609
total_ms,2_7_opt_bag_slow,77,1779955404355304610,76.956064044,19.001
total_ms,2_7_opt_bag_slow,78,1779955405356169308,77.956928742,21.87
total_ms,2_7_opt_bag_slow,79,1779955406362642568,78.96340200200001,23.45
total_ms,2_7_opt_bag_slow,80,1779955407333694681,79.93445411500001,22.414
total_ms,2_7_opt_bag_slow,81,1779955408342206806,80.94296624,19.798
total_ms,2_7_opt_bag_slow,82,1779955409356068383,81.956827817,23.773
total_ms,2_7_opt_bag_slow,83,1779955410334035012,82.93479444600001,21.017
total_ms,2_7_opt_bag_slow,84,1779955411331203681,83.931963115,22.06
total_ms,2_7_opt_bag_slow,85,1779955412328441713,84.929201147,19.035
total_ms,2_7_opt_bag_slow,86,1779955413349904652,85.950664086,18.07
total_ms,2_7_opt_bag_slow,87,1779955414370977015,86.971736449,23.832
total_ms,2_7_opt_bag_slow,88,1779955415331759394,87.932518828,23.509
total_ms,2_7_opt_bag_slow,89,1779955416341966597,88.942726031,24.394
total_ms,2_7_opt_bag_slow,90,1779955417340865559,89.941624993,19.345
total_ms,2_7_opt_bag_slow,91,1779955418331213728,90.931973162,17.882
total_ms,2_7_opt_bag_slow,92,1779955419334527886,91.93528732,20.054
total_ms,2_7_opt_bag_slow,93,1779955420332166435,92.932925869,18.637
total_ms,2_7_opt_bag_slow,94,1779955421341943128,93.94270256200001,17.002
total_ms,2_7_opt_bag_slow,95,1779955422345031171,94.945790605,18.895
total_ms,2_7_opt_bag_slow,96,1779955423341188176,95.94194761,18.431
total_ms,2_7_opt_bag_slow,97,1779955424365715815,96.96647524900001,23.469
total_ms,2_7_opt_bag_slow,98,1779955425363034650,97.963794084,18.315
