metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
total_ms,bevfusion_2_7,0,1779952570654988499,0.0,49.94
total_ms,bevfusion_2_7,1,1779952570714527322,0.059538823000000005,48.214
total_ms,bevfusion_2_7,2,1779952570752680134,0.09769163500000001,37.03
total_ms,bevfusion_2_7,3,1779952570873709551,0.21872105200000003,49.893
total_ms,bevfusion_2_7,4,1779952570963567409,0.30857891000000004,42.841
total_ms,bevfusion_2_7,5,1779952571064833434,0.409844935,44.854
total_ms,bevfusion_2_7,6,1779952571140447196,0.48545869700000005,35.439
total_ms,bevfusion_2_7,7,1779952571261394529,0.60640603,41.597
total_ms,bevfusion_2_7,8,1779952571344326030,0.6893375310000001,43.533
total_ms,bevfusion_2_7,9,1779952571441804229,0.78681573,41.215
total_ms,bevfusion_2_7,10,1779952571556854719,0.90186622,53.539
total_ms,bevfusion_2_7,11,1779952571650727938,0.9957394390000001,38.394
total_ms,bevfusion_2_7,12,1779952571746294779,1.09130628,41.141
total_ms,bevfusion_2_7,13,1779952571844306436,1.189317937,34.398
total_ms,bevfusion_2_7,14,1779952571959215532,1.304227033,36.65
total_ms,bevfusion_2_7,15,1779952572088011776,1.433023277,47.449
total_ms,bevfusion_2_7,16,1779952572144301286,1.489312787,40.25
total_ms,bevfusion_2_7,17,1779952572292836595,1.6378480960000001,64.965
total_ms,bevfusion_2_7,18,1779952572361849018,1.7068605190000001,36.243
total_ms,bevfusion_2_7,19,1779952572464939088,1.809950589,46.122
total_ms,bevfusion_2_7,20,1779952572557082159,1.90209366,47.156
total_ms,bevfusion_2_7,21,1779952572656917250,2.0019287510000003,48.751
total_ms,bevfusion_2_7,22,1779952572760709073,2.1057205740000002,48.072
total_ms,bevfusion_2_7,23,1779952572862148436,2.207159937,41.613
total_ms,bevfusion_2_7,24,1779952572989647205,2.3346587060000004,52.295
total_ms,bevfusion_2_7,25,1779952573061504816,2.4065163170000003,39.053
total_ms,bevfusion_2_7,26,1779952573173214031,2.518225532,39.696
total_ms,bevfusion_2_7,27,1779952573254058159,2.59906966,38.373
total_ms,bevfusion_2_7,28,1779952573359836745,2.704848246,41.403
total_ms,bevfusion_2_7,29,1779952573435109164,2.780120665,38.604
total_ms,bevfusion_2_7,30,1779952573585617937,2.930629438,52.398
total_ms,bevfusion_2_7,31,1779952573665277628,3.0102891290000002,45.925
total_ms,bevfusion_2_7,32,1779952573739819580,3.0848310810000004,39.076
total_ms,bevfusion_2_7,33,1779952573840742111,3.185753612,44.451
total_ms,bevfusion_2_7,34,1779952573947258831,3.292270332,41.828
total_ms,bevfusion_2_7,35,1779952574042684768,3.387696269,43.549
total_ms,bevfusion_2_7,36,1779952574147739461,3.492750962,46.132
total_ms,bevfusion_2_7,37,1779952574273825551,3.6188370520000004,42.233
total_ms,bevfusion_2_7,38,1779952574346350947,3.691362448,42.157
total_ms,bevfusion_2_7,39,1779952574436220363,3.7812318640000004,36.98
total_ms,bevfusion_2_7,40,1779952574565871542,3.910883043,45.013
total_ms,bevfusion_2_7,41,1779952574644558239,3.9895697400000003,38.272
total_ms,bevfusion_2_7,42,1779952574741814220,4.086825721,41.456
total_ms,bevfusion_2_7,43,1779952574842417113,4.187428614,37.917
total_ms,bevfusion_2_7,44,1779952574952037813,4.297049314000001,39.491
total_ms,bevfusion_2_7,45,1779952575038424054,4.383435555,39.816
total_ms,bevfusion_2_7,46,1779952575174727679,4.51973918,45.823
