metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
total_ms,2_7_r1_t1,0,1780387636034615373,0.0,40.544
total_ms,2_7_r1_t1,1,1780387636119376211,0.084760838,30.954
total_ms,2_7_r1_t1,2,1780387636237371773,0.2027564,33.409
total_ms,2_7_r1_t1,3,1780387636308516441,0.273901068,33.474
total_ms,2_7_r1_t1,4,1780387636419507943,0.38489257000000004,32.572
total_ms,2_7_r1_t1,5,1780387636516830369,0.482214996,33.49
total_ms,2_7_r1_t1,6,1780387636722170345,0.687554972,42.936
total_ms,2_7_r1_t1,7,1780387636777765005,0.7431496320000001,54.414
total_ms,2_7_r1_t1,8,1780387636840518706,0.805903333,34.603
total_ms,2_7_r1_t1,9,1780387636910950942,0.8763355690000001,29.274
total_ms,2_7_r1_t1,10,1780387637013488143,0.9788727700000001,29.94
total_ms,2_7_r1_t1,11,1780387637143215911,1.1086005380000001,36.272
total_ms,2_7_r1_t1,12,1780387637212830377,1.1782150040000001,29.461
total_ms,2_7_r1_t1,13,1780387637333859004,1.2992436310000002,42.803
total_ms,2_7_r1_t1,14,1780387637430749217,1.3961338440000002,32.528
total_ms,2_7_r1_t1,15,1780387637512050744,1.477435371,26.615
total_ms,2_7_r1_t1,16,1780387637677174587,1.642559214,62.588
total_ms,2_7_r1_t1,17,1780387637705644194,1.6710288210000002,27.75
total_ms,2_7_r1_t1,18,1780387637836909344,1.802293971,41.765
total_ms,2_7_r1_t1,19,1780387637914947355,1.8803319820000002,34.066
total_ms,2_7_r1_t1,20,1780387638032562825,1.9979474520000002,29.911
total_ms,2_7_r1_t1,21,1780387638122875101,2.088259728,33.541
total_ms,2_7_r1_t1,22,1780387638212438986,2.177823613,35.127
total_ms,2_7_r1_t1,23,1780387638317443918,2.282828545,38.326
total_ms,2_7_r1_t1,24,1780387638439055256,2.4044398830000002,39.908
total_ms,2_7_r1_t1,25,1780387638512316623,2.47770125,28.151
total_ms,2_7_r1_t1,26,1780387638636325086,2.601709713,30.103
total_ms,2_7_r1_t1,27,1780387638718032267,2.683416894,31.578
total_ms,2_7_r1_t1,28,1780387638844374911,2.8097595380000002,34.539
total_ms,2_7_r1_t1,29,1780387638926590069,2.891974696,32.135
total_ms,2_7_r1_t1,30,1780387639026917533,2.9923021600000004,32.412
total_ms,2_7_r1_t1,31,1780387639115142735,3.080527362,36.706
total_ms,2_7_r1_t1,32,1780387639228267077,3.193651704,34.182
total_ms,2_7_r1_t1,33,1780387639317462274,3.282846901,31.565
total_ms,2_7_r1_t1,34,1780387639438985326,3.4043699530000002,33.438
total_ms,2_7_r1_t1,35,1780387639522041195,3.487425822,30.099
total_ms,2_7_r1_t1,36,1780387639646834863,3.61221949,37.837
total_ms,2_7_r1_t1,37,1780387639726384542,3.691769169,34.274
total_ms,2_7_r1_t1,38,1780387639829918623,3.7953032500000004,34.545
total_ms,2_7_r1_t1,39,1780387639973759940,3.939144567,61.851
total_ms,2_7_r1_t1,40,1780387640031779615,3.997164242,41.419
total_ms,2_7_r1_t1,41,1780387640105287179,4.070671806,32.335
total_ms,2_7_r1_t1,42,1780387640228819921,4.194204548,31.282
total_ms,2_7_r1_t1,43,1780387640335171662,4.300556289,35.517
total_ms,2_7_r1_t1,44,1780387640444807640,4.410192267,40.003
total_ms,2_7_r1_t1,45,1780387640559731998,4.525116625,53.924
total_ms,2_7_r1_t1,46,1780387640626071811,4.591456438000001,32.962
total_ms,2_7_r1_t1,47,1780387640726526509,4.691911136,39.187
total_ms,2_7_r1_t1,48,1780387640820729402,4.786114029,40.42
total_ms,2_7_r1_t1,49,1780387640915430924,4.880815551,35.002
total_ms,2_7_r1_t1,50,1780387641019086305,4.984470932000001,34.563
total_ms,2_7_r1_t1,51,1780387641133656918,5.099041545,31.673
total_ms,2_7_r1_t1,52,1780387641246841139,5.212225766,39.889
total_ms,2_7_r1_t1,53,1780387641316714711,5.282099338,31.851
total_ms,2_7_r1_t1,54,1780387641469923539,5.435308166,48.657
total_ms,2_7_r1_t1,55,1780387641524961898,5.4903465250000005,37.459
total_ms,2_7_r1_t1,56,1780387641637288657,5.602673284000001,35.728
total_ms,2_7_r1_t1,57,1780387641714987631,5.680372258,31.419
total_ms,2_7_r1_t1,58,1780387641839520512,5.804905139000001,34.695
total_ms,2_7_r1_t1,59,1780387641920962475,5.886347102,33.08
total_ms,2_7_r1_t1,60,1780387642019890990,5.985275617,34.807
total_ms,2_7_r1_t1,61,1780387642118479742,6.0838643690000005,33.206
total_ms,2_7_r1_t1,62,1780387642204605822,6.169990449,31.075
total_ms,2_7_r1_t1,63,1780387642305555876,6.270940503,26.666
total_ms,2_7_r1_t1,64,1780387642409023161,6.374407788,32.049
total_ms,2_7_r1_t1,65,1780387642516286960,6.481671587,32.751
total_ms,2_7_r1_t1,66,1780387642609236904,6.574621531,29.96
total_ms,2_7_r1_t1,67,1780387642720697949,6.686082576,32.147
total_ms,2_7_r1_t1,68,1780387642832051248,6.797435875000001,37.116
total_ms,2_7_r1_t1,69,1780387642930639425,6.8960240520000005,35.738
total_ms,2_7_r1_t1,70,1780387643015122155,6.980506782000001,39.441
total_ms,2_7_r1_t1,71,1780387643101591081,7.066975708,33.404
total_ms,2_7_r1_t1,72,1780387643220481101,7.1858657280000005,31.532
total_ms,2_7_r1_t1,73,1780387643320227151,7.285611778000001,33.696
total_ms,2_7_r1_t1,74,1780387643403573015,7.368957642000001,29.792
total_ms,2_7_r1_t1,75,1780387643519163668,7.484548295000001,34.02
total_ms,2_7_r1_t1,76,1780387643615084268,7.580468895,32.69
total_ms,2_7_r1_t1,77,1780387643714700204,7.680084831,30.89
total_ms,2_7_r1_t1,78,1780387643815021655,7.780406282,33.221
total_ms,2_7_r1_t1,79,1780387643902638490,7.868023117000001,31.37
total_ms,2_7_r1_t1,80,1780387644001883799,7.967268426,32.833
total_ms,2_7_r1_t1,81,1780387644131359312,8.096743939000001,37.181
total_ms,2_7_r1_t1,82,1780387644216062896,8.181447523000001,35.625
total_ms,2_7_r1_t1,83,1780387644322566911,8.287951538,33.359
total_ms,2_7_r1_t1,84,1780387644430446963,8.39583159,32.436
total_ms,2_7_r1_t1,85,1780387644517514011,8.482898638,37.268
total_ms,2_7_r1_t1,86,1780387644628631706,8.594016333,34.208
total_ms,2_7_r1_t1,87,1780387644737435658,8.702820285000001,35.376
total_ms,2_7_r1_t1,88,1780387644832186672,8.797571299000001,34.402
total_ms,2_7_r1_t1,89,1780387644941822982,8.907207609,35.817
total_ms,2_7_r1_t1,90,1780387645013183201,8.978567828000001,30.668
total_ms,2_7_r1_t1,91,1780387645115241155,9.080625782,41.586
total_ms,2_7_r1_t1,92,1780387645209471461,9.174856088,32.605
total_ms,2_7_r1_t1,93,1780387645307101305,9.272485932,31.83
total_ms,2_7_r1_t1,94,1780387645419657718,9.385042345,32.687
total_ms,2_7_r1_t1,95,1780387645508045806,9.473430433,32.988
total_ms,2_7_r1_t1,96,1780387645619812960,9.585197587000001,32.736
total_ms,2_7_r1_t1,97,1780387645708494455,9.673879082000001,31.762
total_ms,2_7_r1_t1,98,1780387645796175658,9.761560285,30.079
total_ms,2_7_r1_t1,99,1780387645911167536,9.876552163000001,35.153
total_ms,2_7_r1_t1,100,1780387646050275903,10.01566053,43.309
total_ms,2_7_r1_t1,101,1780387646112474568,10.077859195,30.808
total_ms,2_7_r1_t1,102,1780387646200858947,10.166243574000001,31.143
total_ms,2_7_r1_t1,103,1780387646327715145,10.293099772000001,27.519
total_ms,2_7_r1_t1,104,1780387646444538141,10.409922768000001,35.098
total_ms,2_7_r1_t1,105,1780387646508714501,10.474099128,32.712
total_ms,2_7_r1_t1,106,1780387646615338284,10.580722911,27.987
total_ms,2_7_r1_t1,107,1780387646740668023,10.70605265,36.129
total_ms,2_7_r1_t1,108,1780387646805273478,10.770658105,29.98
total_ms,2_7_r1_t1,109,1780387646911886977,10.877271604,31.075
total_ms,2_7_r1_t1,110,1780387647113329836,11.078714463,57.819
total_ms,2_7_r1_t1,111,1780387647180561547,11.145946174,40.15
total_ms,2_7_r1_t1,112,1780387647243801467,11.209186094000001,41.037
